date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:14	17600/17600	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516629-44c0%22	http://cleanuitemplate.com/package/assets/vendors/nestable/jquery.nestable.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/nestable/jquery.nestable.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:15	2021/2021	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516690-7e5%22	http://cleanuitemplate.com/package/assets/vendors/datatables/media/js/dataTables.bootstrap4.min.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/datatables/media/js/dataTables.bootstrap4.min.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:16	3752/3752	---MCZ	200	added ('OK')	application/javascript	etag:W/%225851661b-ea8%22	http://cleanuitemplate.com/package/assets/vendors/editable-table/mindmup-editabletable.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/editable-table/mindmup-editabletable.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:16	82638/82638	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516691-142ce%22	http://cleanuitemplate.com/package/assets/vendors/datatables/media/js/jquery.dataTables.min.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/datatables/media/js/jquery.dataTables.min.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:16	45771/45771	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516645-b2cb%22	http://cleanuitemplate.com/package/assets/vendors/datatables-fixedcolumns/js/dataTables.fixedColumns.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/datatables-fixedcolumns/js/dataTables.fixedColumns.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:16	25098/25098	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516646-620a%22	http://cleanuitemplate.com/package/assets/vendors/datatables-responsive/js/dataTables.responsive.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/datatables-responsive/js/dataTables.responsive.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:17	3657/3657	---MCZ	200	added ('OK')	application/javascript	etag:W/%225851662b-e49%22	http://cleanuitemplate.com/package/assets/vendors/peity/jquery.peity.min.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/peity/jquery.peity.min.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:18	1395/1395	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516642-573%22	http://cleanuitemplate.com/package/assets/vendors/chartist-plugin-tooltip/dist/chartist-plugin-tooltip.min.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/chartist-plugin-tooltip/dist/chartist-plugin-tooltip.min.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:18	38150/38150	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258516642-9506%22	http://cleanuitemplate.com/package/assets/vendors/chartist/dist/chartist.min.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/chartist/dist/chartist.min.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
17:44:19	5929/5929	---MCZ	200	added ('OK')	application/javascript	etag:W/%225851661d-1729%22	http://cleanuitemplate.com/package/assets/vendors/hackertyper/hackertyper.js	C:/Users/denilson.carvalho/Desktop/teste/teste/cleanuitemplate.com/package/assets/vendors/hackertyper/hackertyper.js	(from http://cleanuitemplate.com/package/livepreview/index_material.html)
